id_developer	developers
988	Anoop Nihar Srinivas
989	Another Circus
990	Another Noname
991	Another Planet
992	Another Reality
993	Another Story
994	Another world
995	Another Yeti
996	anotherworld GmbH
997	Anothink
998	AnRaEl
999	Anrick
1000	ansdor
1001	Anshar Studios
1002	Ansimuz Games
1003	Ant Workshop Ltd
1004	Ant.Karlov
1005	Antab Studio
1006	Antagonist
1007	Antanas Marcelionis
1008	Antarctic Games
1009	Antaria, LLC
1010	Antarsoft
1011	Anteater Games
1012	Anthony Acosta
1013	Anthony Case
1014	Anthony KOZAK
1015	Anthony Rotondo
1016	Anthony Septim
1017	Anthracite Games
1018	Anti Crunch Studios
1019	Anti Gravity Game Studios
1020	Anti-Ded GameDev
1021	AntiAnti
1022	Anticto
1023	Antimatter Games
1024	Antiproto
1025	Antiquity Studio
1026	Antispace Studios
1027	Antizero company
1028	Antler Interactive
1029	Antoine Bilodeau
1030	Antoine H�s�que
1031	Antoine Rigitano
1032	Anton Gerdelan
1033	Anton Riot and Co
1034	Anton Shatalov
1035	Antonio Latronico
1036	Antonio Renna
1037	Antropi
1038	antrorse
1039	Antti Vaihia
1040	Antuan Johnson
1041	Anuman Interactive
1042	Anunnaki s.r.l.
1043	ANV Team
1044	Anvate Games
1045	Anvil Drop, LLC
1046	Anvil Game Studios
1047	Anvil-Soft
1048	Anxious Neck Games
1049	AO Games Studios
1050	AO2Game
1051	Aoga Tech
1052	Aoineko
1053	aomin-meiho
1054	AOS GAME
1055	AP Thomson
1056	Apache
1057	Apapappa Games
1058	Apar Games
1059	APAS games
1060	Apathus Software
1061	ApathyWorks, LLC
1062	Ape Apps
1063	Ape Law
1064	Ape Man Robot
1065	Ape Marina
1066	Apefoot Studios, LLC
1067	Apeirogon Games
1068	Apeiron
1069	Aperico Software
1070	APG Studios LLC
1071	APGal
1072	Apillo
1073	AploveStudio
1074	APLUS Co., Ltd
1075	Apoapsis Studios
1076	Apocoplay LLC
1077	Apology Games
1078	app2fun
1079	Apparition Games
1080	AppChu Indie Games
1081	Appeal
1082	AppFactoryHaru-Ni
1083	AppGeneration
1084	Applava
1085	Apple Cider
1086	Apple Dash
1087	AppleCoffee
1088	Applemint
1089	Applepine Games
1090	Application Systems Heidelberg
1091	Appliks Apps Studios
1092	Applimazing
1093	Appmania
1094	Appmania/i-Free
1095	Appnori Inc.
1096	Appnormals Team
1097	Appocalypse Games
1098	AppRoarr Studios
1099	AppsByBrats
1100	Appsif Apps ltd
1101	Appsolutely Studios
1102	AppyArt Games
1103	aPriori Digital
1104	Aproldvin
1105	aptk
1106	Apus Software
1107	AQGames
1108	AquaBomber
1109	aQuadiun
1110	Aqualuft Games
1111	AQUASTYLE
1112	Aquiris Game Studio
1113	AQURIA
1114	AQURIA Co., Ltd.
1115	aqwatron
1116	AR Gaming
1117	Ara Interactive
1118	Arachnid Games
1119	Aragronks Games
1120	Arai Koh Create Office
1121	Arakion LLC
1122	Aratog LLC
1123	ARB Studios
1124	Arbatskii Anatolii
1125	Arberth Studios
1126	Arbitrary Metric
1127	Arc System Works
1128	Arc-gen
1129	Arcade Distillery
1130	Arcade Injection
1131	Arcade Zone
1132	Arcane Architect
1133	Arcane Four Studios
1134	Arcane Raise
1135	Arcani Interactive
1136	Arcanity Inc
1137	Arcen Games, LLC
1138	Archetype Edge LTD.
1139	Archetype Global
1140	Archetype Interactive
1141	Archetype Studios
1142	Archiact
1143	Archive Entertainment
1144	Archon Interactive
1145	Arclight Worlds
1146	Arctic Anteater
1147	Arctic Bird Studio
1148	ArcticFox223
1149	Arcturus
1150	Arcturus Interactive
1151	Arcturus Studios Inc
1152	Arcupion Art
1153	Arcus Plume
1154	Ardentsquid
1155	Ardi Studio
1156	Ardoetia Productions
1157	Area 120
1158	AREA 35
1159	Area64 Productions
1160	Areal Czech
1161	ARES Inc.
1162	aresarx
1163	Arevoatl Games
1164	argagonky
1165	Argali Entertainment
1166	ARGames
1167	Argent Games
1168	Argeus Games
1169	Arglefumph
1170	Argonauts Interactive
1171	Argonauts Studios
1172	Argus Games
1173	Aric Morrow
1174	Aries-Lenov
1175	Arif Games
1176	Ariflare
1177	Ariganu
1178	ARIKA
1179	Arise
1180	Aristotelis Giannakopoulos
1181	Arjuna Games
1182	Arkane Studios
1183	Arkavi Studios
1184	Arkedo
1185	Arkenstone Games
1186	ArkHouse
1187	Arkraptor
1188	Arli Tuominen
1189	ARLOOPA Inc.
1190	Armadillo Game Studios
1191	Armadillo Studios
1192	Armagedoom Games
1193	Arman Karshenas
1194	Armando
1195	Armatur Games
1196	Armature Studio
1197	Armet Games
1198	Armitage Games
1199	Armnomads LLC
1200	Armogaste
1201	Armoured Beans
1202	Army Game Studio
1203	Arnaud De Bock
1204	Arnold Rauers
1205	Aron Miller
1206	ARQUOIA
1207	Arran Langmead
1208	Arrible
1209	Arrogant Pixel
1210	ArrowGroundGames
1211	Arrowhead Game Studios
1212	Arrowiz
1213	Ars Creativa
1214	Art Games
1215	Art in Heart
1216	Art Of Adventures
1217	Art of The Rush
1218	Art-Arcade
1219	Artaani
1220	Artalasky
1221	artArmin
1222	Artax Games
1223	Artbox Games
1224	ARTDINK
1225	ARTDINK CORPORATION
1226	ARTE France
1227	Artech Studios
1228	Artefact Assembly
1229	Artefacts Studio
1230	Artefacts Studios
1231	ArteG
1232	Artem Bondin
1233	Artem Kotov
1234	Artematica Entertainment
1235	ArtemizGame
1236	Artepi Corporation
1237	ArtePiazza
1238	Artery Games
1239	Arthur Doggo
1240	Arthur Parker
1241	Arthur Pernot
1242	ArticNet
1243	Artifact 5
1244	ARTIFACTS
1245	Artifex Mundi
1246	Artifice Studio
1247	Artificer Cascadia
1248	Artificer Creator
1249	Artificient Games Inc.
1250	Artii Games LLC
1251	Artisano
1252	Artisiti
1253	Artist Suvi Solkio
1254	Artists Entertainment
1255	Artix Entertainment, LLC
1256	Artless Games
1257	Artnumeris
1258	Artogon
1259	Artogon Corp.
1260	Artoncode�
1261	Artplant
1262	Artsy Sayuri
1263	Arttu Tuovinen
1264	Artur Berkowski Berobasket
1265	Artur Games
1266	Artur Mandas
1267	Artur Petrov
1268	Artur Rezende
1269	ArtVostok
1270	ARTWARE Multimedia
1271	Artyom Laletin
1272	Arupaca Laboratories
1273	Arvi Teikari
1274	ARVORE Immersive Games Inc.
1275	Arzola's
1276	As-key
1277	ASA Studio
1278	ASBO Interactive
1279	ASC Games
1280	Ascanio Entertainment
1281	Ascaron
1282	Ascaron Entertainment ltd.
1283	Ascendant Studio
1284	Ascendence Studios
1285	Ascension Dream
1286	Ascension Interactive Media
1287	ASGames
1288	Ashdar Games
1289	AsicxArt
1290	Asixa
1291	Ask An Enemy Studios
1292	ASK Homework
1293	ASK.
1294	Askiisoft
1295	askot
1296	Aslak Studio
1297	Aslan Game Studio
1298	Asmodee Digital
1299	Asobo Studio
1300	Aspyr
1301	Aspyr (Linux)
1302	Aspyr (Mac & Linux)
1303	Aspyr (Mac)
1304	Aspyr (Mac, Linux, & Windows Update)
1305	Aspyr Studios
1306	Assemble Entertainment
1307	Astalo Games
1308	Asteristic Game Studio
1309	Asteroid Base
1310	Astra Game Studio
1311	astragon Entertainment
1312	Astral Byte Ltd.
1313	Astralax
1314	ASTRO PORT
1315	AstroBear Games
1316	Astrobot
1317	Astrocat Studios
1318	Astrofish Games
1319	Astrojone
1320	Astronomic Games
1321	Astrosimer
1322	Asylum entertainment
1323	Asylum Entertainment Inc.
